Truck Type,Carton Count,Load Type,Estimated Cargo Volume,Fill Percentage
53ft Van,1935,Chewy,8707.5,88.52142919229749
53ft Van,1571,Chewy,7069.5,77.9597545259111
53ft Van,1621,Chewy,7294.5,64.67983561008607
53ft Van,1958,Chewy,8811.0,85.98528437324805
53ft Van,2163,Combination,8652.0,79.52665418846559
53ft Van,2269,IC,13614.0,81.65996316800474
53ft Van,1885,Overhead,5655.0,65.45474901621301
53ft Van,1660,IC,9960.0,69.12726728878613
53ft Van,1752,Overhead,5256.0,72.95835055926347
53ft Van,1974,IC,11844.0,78.35558684167138
53ft Van,1975,Overhead,5925.0,89.21266556524378
53ft Van,1689,Chewy,7600.5,62.718193035984626
53ft Van,2062,Overhead,6186.0,71.47385973801488
53ft Van,2004,Combination,8016.0,61.39351238159993
53ft Van,2146,Chewy,9657.0,65.11572371061875
53ft Van,1773,Chewy,7978.5,88.4665661176
53ft Van,1513,Combination,6052.0,84.25192044349383
53ft Van,1845,IC,11070.0,62.93016342019152
53ft Van,1591,Combination,6364.0,73.20457481218804
53ft Van,1927,Chewy,8671.5,74.85530730333811
53ft Van,1534,Chewy,6903.0,87.27961206236347
53ft Van,2061,Combination,8244.0,79.87566853061946
53ft Van,1889,Overhead,5667.0,66.23824988604566
53ft Van,1976,Combination,7904.0,89.08753883293676
53ft Van,2055,Overhead,6165.0,88.18496824692568
53ft Van,1769,Overhead,5307.0,81.81815987569263
53ft Van,1955,Chewy,8797.5,77.11331923216198
53ft Van,2201,Combination,8804.0,69.75990992289793
53ft Van,2248,Combination,8992.0,68.14047095321688
53ft Van,2291,IC,13746.0,70.70259980080768
53ft Van,1687,Combination,6748.0,76.28088249474746
53ft Van,1656,IC,9936.0,84.06590942262119
53ft Van,2020,IC,12120.0,83.16734307889972
53ft Van,2147,Combination,8588.0,60.16566351370807
53ft Van,1998,Chewy,8991.0,81.20572031542852
53ft Van,1918,Chewy,8631.0,83.13811040057837
53ft Van,1989,IC,11934.0,70.75397185632818
53ft Van,1527,IC,9162.0,85.89310277626781
53ft Van,2279,Combination,9116.0,69.92694074557947
53ft Van,2002,Combination,8008.0,69.32946965146986
53ft Van,1598,Combination,6392.0,77.73893363123182
53ft Van,2046,Overhead,6138.0,74.16644775485848
53ft Van,1961,IC,11766.0,85.46741472798251
53ft Van,1717,IC,10302.0,67.07954759246867
53ft Van,2294,Overhead,6882.0,75.68198488145983
53ft Van,2053,Chewy,9238.5,73.1800950559731
53ft Van,2074,Chewy,9333.0,86.87290787020558
53ft Van,2063,IC,12378.0,76.8982671592915
53ft Van,2233,Combination,8932.0,64.17994363217628
53ft Van,2248,Chewy,10116.0,76.1952327390502
53ft Van,1535,IC,9210.0,88.28560711673943
53ft Van,2198,Chewy,9891.0,80.84354799119114
53ft Van,2077,Combination,8308.0,78.73062144401379
53ft Van,2145,Overhead,6435.0,73.69603711448731
53ft Van,2055,Combination,8220.0,72.49529843611099
53ft Van,1830,Overhead,5490.0,69.73035063015821
53ft Van,1847,Chewy,8311.5,70.68893514230925
53ft Van,1724,Overhead,5172.0,68.16396748153906
53ft Van,2132,Chewy,9594.0,84.54044297767479
53ft Van,1758,IC,10548.0,60.20856391593572
53ft Van,1910,Combination,7640.0,72.52233009446337
53ft Van,1724,IC,10344.0,63.595961020010485
53ft Van,2163,Combination,8652.0,88.28729111737557
53ft Van,2171,Overhead,6513.0,75.56371865230098
53ft Van,2191,IC,13146.0,70.90888807137881
53ft Van,1941,IC,11646.0,88.87341884826334
53ft Van,1885,Overhead,5655.0,81.36811769773325
53ft Van,2124,IC,12744.0,89.93221455146826
53ft Van,1612,Chewy,7254.0,89.29844867497958
53ft Van,2065,Combination,8260.0,60.991521987016455
53ft Van,1724,Combination,6896.0,79.03054034104092
53ft Van,1629,Overhead,4887.0,75.92803749951409
53ft Van,2171,Overhead,6513.0,76.58679267213984
53ft Van,1938,Chewy,8721.0,82.84858845986153
53ft Van,1900,Chewy,8550.0,81.84649045835579
53ft Van,2109,Combination,8436.0,79.00589132282684
53ft Van,2010,Chewy,9045.0,62.70869310163225
53ft Van,1700,IC,10200.0,69.62340194915208
53ft Van,1963,Overhead,5889.0,61.22325424664292
53ft Van,2263,Combination,9052.0,80.32693085526847
53ft Van,1845,Chewy,8302.5,75.36279174897842
53ft Van,1647,Chewy,7411.5,79.35518371228349
53ft Van,1988,Combination,7952.0,80.72813214307398
53ft Van,2050,Combination,8200.0,88.10189966210203
53ft Van,2278,IC,13668.0,70.23199053150776
53ft Van,1650,IC,9900.0,76.24343921482698
53ft Van,2110,Overhead,6330.0,66.85650065391899
53ft Van,1845,Combination,7380.0,89.46505029988307
53ft Van,2071,Combination,8284.0,67.82487524491228
53ft Van,1803,IC,10818.0,88.96258053866381
53ft Van,1536,IC,9216.0,86.4790902956802
53ft Van,1508,Chewy,6786.0,68.36614057776546
53ft Van,1707,Chewy,7681.5,86.9133077985773
53ft Van,1553,Combination,6212.0,83.39626637572871
53ft Van,2127,Combination,8508.0,62.52419894985147
53ft Van,1919,Combination,7676.0,86.95662565581237
53ft Van,1753,Combination,7012.0,60.27591154849889
53ft Van,1972,Overhead,5916.0,79.90505307324167
53ft Van,1837,IC,11022.0,74.5684126075868
53ft Van,2219,Chewy,9985.5,89.83372387832462
53ft Van,1660,Combination,6640.0,60.54226090846563
53ft Van,1776,Overhead,5328.0,65.36468127663986
53ft Van,1891,Combination,7564.0,85.47670231482533
53ft Van,2139,IC,12834.0,77.04925810006415
53ft Van,1969,Combination,7876.0,67.95607103045177
53ft Van,2169,Overhead,6507.0,89.19031664257336
53ft Van,2062,IC,12372.0,86.7613966553134
